"Track","StartUtc","EndUtc","Points"
"2025\2025-09 - Malta, Sorrento\2025-09-21 - Amalfi Drive.gpx","2025-09-21T07:24:40Z","2025-09-21T15:06:39Z","18932"
"2025\2025-09 - Malta, Sorrento\2025-09-24 - Sorrento to Rome Drive.gpx","2025-09-24T09:03:43Z","2025-09-24T13:24:19Z","11557"
"2025\2025-11 - USA, WY, Jackson\2025-11-23 - MT & WY - Bozeman to Yellowstone.gpx","2025-11-23T20:06:46Z","2025-11-24T01:03:38Z","16122"
"2025\2025-11 - USA, WY, Jackson\2025-11-24 - WY - Jackson.gpx","2025-11-24T17:11:49Z","2025-11-24T21:57:05Z","15157"
"2026\2026-01 - Caribbean Cruise\2026-01-17 - St. Lucia.gpx","2026-01-17T12:42:48Z","2026-01-17T17:46:42Z","14924"
"2026\2026-01 - Caribbean Cruise\2026-01-19 - Dominica.gpx","2026-01-19T12:37:05Z","2026-01-19T16:49:33Z","14373"
"2026\2026-01 - Caribbean Cruise\2026-01-20 - St. Kitts and Nevis.gpx","2026-01-20T14:03:25Z","2026-01-20T19:40:34Z","13882"
"2026\2026-07 - Alaska\2026-07-15 - 01 - Flight, Anchorage to Redoubt Bay.gpx","2026-07-15T20:36:00Z","2026-07-15T21:51:18Z","3380"
"2026\2026-07 - Alaska\2026-07-15 - 02 - Redoubt Bay - Afternoon Excursion.gpx","2026-07-15T22:24:47Z","2026-07-16T01:13:25Z","10095"
"2026\2026-07 - Alaska\2026-07-15 - 03 - Redoubt Bay - Evening Excursion.gpx","2026-07-16T04:09:23Z","2026-07-16T06:26:59Z","8239"
"2026\2026-07 - Alaska\2026-07-16 - 01 - Redoubt Bay - Morning Excursion.gpx","2026-07-16T18:08:31Z","2026-07-16T21:49:44Z","12602"
"2026\2026-07 - Alaska\2026-07-16 - 02 - Redoubt Bay - Evening Excursion.gpx","2026-07-17T04:08:20Z","2026-07-17T05:56:27Z","6196"
"2026\2026-07 - Alaska\2026-07-17 - 01 - Flight, Redoubt Bay to Anchorage.gpx","2026-07-17T21:57:54Z","2026-07-17T23:57:17Z","4768"
